LU_NAME,KEY_REF,STEP_NO,DESCRIPTION,APP_DATE,NOTE,PREV_APPROVAL_DATE,PERSON_ID,APPROVAL_STATUS
NonConformanceReport,NCR_NO=1409^,60,QA Review & Approve,20-Jan-21,,20-Jan-21,100265,Approved
NonConformanceReport,NCR_NO=1409^,10,Initiate Approval Routing,20-Jan-21,,20-Jan-21,100265,Approved
InventoryPart,CONTRACT=100^PART_NO=HSFK229346^,255,EC - Release to Technician/Status Q,20-Jan-21,,20-Jan-21,100259,Approved
OrderQuotation,QUOTATION_NO=1297424^,100,Heaters: Engineering respond to quote,20-Jan-21,,20-Jan-21,103022,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3166308^DOC_REV=()^DOC_SHEET=1^,10,QA-Initiate,20-Jan-21,,20-Jan-21,104058,Approved
OrderQuotation,QUOTATION_NO=1298240^,10,Sales: Send quote to Engineering,20-Jan-21,,20-Jan-21,100181,Approved
InquiryOrder,INQUIRY_NO=8087^,10,Design Engineer,20-Jan-21,,20-Jan-21,100566,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3166112^DOC_REV=()^DOC_SHEET=1^,10,QA - Initiate,20-Jan-21,,20-Jan-21,103749,Approved
OrderQuotation,QUOTATION_NO=1297915^,50,Sales: CrossRef/Pricing/Quote,20-Jan-21,,20-Jan-21,100615,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3166110^DOC_REV=()^DOC_SHEET=1^,10,QA - Initiate,20-Jan-21,,20-Jan-21,103749,Approved
OrderQuotation,QUOTATION_NO=1297675^,65,Snsr/Inst: Eng New Product Development,20-Jan-21,"New model# for this request, same case as S234114 but dual element with IEC 60751 color scheme.
see a-mail train attached (IFS doc 3165379)",20-Jan-21,100573,Approved
DocIssue,DOC_CLASS=701^DOC_NO=3162767^DOC_REV=()^DOC_SHEET=1^,20,MFG Eng - Review and Approve,20-Jan-21,,20-Jan-21,104118,Approved
CustomerOrder,ORDER_NO=1703481^,30,Heaters: Engineering respond to quote,20-Jan-21,FAI step added to Routing.,20-Jan-21,103706,Approved
InventoryPart,CONTRACT=100^PART_NO=272-237281^,20,Buyer,20-Jan-21,,20-Jan-21,100527,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3165792^DOC_REV=()^DOC_SHEET=1^,100,Release Documents,20-Jan-21,,19-Jan-21,100259,Approved
ReturnMaterialLine,RMA_LINE_NO=1^RMA_NO=12573^,50,Send disposition note to customer,20-Jan-21,,20-Jan-21,100294,Approved
InventoryPart,CONTRACT=100^PART_NO=S236012PXPX^,181,TSCS Design Engineer (Verification),20-Jan-21,approving out of order -JNB 1/20/2021,20-Jan-21,100060,Approved
ReturnMaterialLine,RMA_LINE_NO=2^RMA_NO=12573^,50,Send disposition note to customer,20-Jan-21,Finish steps on line 1,19-Jan-21,100294,Approved
InventoryPart,CONTRACT=100^PART_NO=HSFAP236652^,110,DE - Output Review/Sign off,20-Jan-21,,19-Jan-21,103022,Approved
OrderQuotation,QUOTATION_NO=1297915^,40,Sales: CrossRef/Pricing/Quote,20-Jan-21,,20-Jan-21,103886,Approved
InventoryPart,CONTRACT=100^PART_NO=S236012PXPX^,180,TSCS Design Eng (1st Run Meeting),20-Jan-21,,20-Jan-21,100060,Approved
ReturnMaterialLine,RMA_LINE_NO=1^RMA_NO=12577^,50,Send disposition note to customer,20-Jan-21,,20-Jan-21,100294,Approved
ReturnMaterialLine,RMA_LINE_NO=1^RMA_NO=12568^,110,Create customer order,20-Jan-21,"Started- 1/13 Sanmina is on credit block, cant reserve rma parts yet",13-Jan-21,100294,Approved
MrbHead,MRB_NUMBER=4941^,50,Initiator close MRB,20-Jan-21,,20-Jan-21,102450,Approved
MrbHead,MRB_NUMBER=4941^,30,QA MRB Disposition & Content,20-Jan-21,,20-Jan-21,102450,Approved
DocIssue,DOC_CLASS=701^DOC_NO=3162126^DOC_REV=()^DOC_SHEET=1^,20,MFG Eng - Delete if initiator,20-Jan-21,,20-Jan-21,104118,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3162248^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,20-Jan-21,,12-Jan-21,103716,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3162218^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,20-Jan-21,,12-Jan-21,103716,Approved
OrderQuotation,QUOTATION_NO=1298174^,20,Snsr/Inst: Eng New Product Development,20-Jan-21,"21DIST, 1/21/21. STATOR, top opps 8752, Customer is looking for 5 stators for the Limestone Project in Manitoba for generator refurbishment.
Ref# 21878900 MKB61-702 F EC-01. See internal email attached as RFQ document

Note to Engineering: I could find no existing model compliant to specs
01.18.2021/Gary Engelbrecht",20-Jan-21,100634,Approved
DocIssue,DOC_CLASS=842^DOC_NO=SEO-2436^DOC_REV=()^DOC_SHEET=1^,140,Create Customer Order,20-Jan-21,,20-Jan-21,100294,Approved
InventoryPart,CONTRACT=100^PART_NO=E2C237116^,75,DE - Complete IFS Structures & Routings,20-Jan-21,,20-Jan-21,103905,Approved
OrderQuotation,QUOTATION_NO=1298237^,10,Sales: Send quote to Engineering,20-Jan-21,,20-Jan-21,103544,Approved
NonConformanceReport,NCR_NO=817^,50,Verify Correction Effectiveness w/ Evid.,20-Jan-21,Review and changes captured in TS & FS.  Areas have been updated.,20-Jan-21,103721,Approved
DocIssue,DOC_CLASS=A1300^DOC_NO=2765476^DOC_REV=1^DOC_SHEET=1^,30,Tech update and release doc,20-Jan-21,"Hi Kou.  Updated Document Attached.  I could not find this in IFS.  Let me know how you want to handle this.  Thanks, Craig",20-Jan-21,103379,Approved
CustomerInfo,CUSTOMER_ID=186935^,50,CSR approve cust master; enter order,20-Jan-21,,20-Jan-21,100615,Approved
DocIssue,DOC_CLASS=842^DOC_NO=SEO-2436^DOC_REV=()^DOC_SHEET=1^,130,"Create shop order, Notify Planner",20-Jan-21,,20-Jan-21,100294,Approved
DocIssue,DOC_CLASS=842^DOC_NO=SEO-2436^DOC_REV=()^DOC_SHEET=1^,120,Request lead time,20-Jan-21,1/19 email LT,20-Jan-21,100294,Approved
MrbHead,MRB_NUMBER=4926^,20,QA MRB Disposition,20-Jan-21,,20-Jan-21,103721,Approved
MrbHead,MRB_NUMBER=4925^,20,QA MRB Disposition,20-Jan-21,,20-Jan-21,103721,Approved
DocIssue,DOC_CLASS=866^DOC_NO=3162971^DOC_REV=()^DOC_SHEET=1^,2,Process Engineer,20-Jan-21,,20-Jan-21,103913,Approved
DocIssue,DOC_CLASS=866^DOC_NO=3162980^DOC_REV=()^DOC_SHEET=1^,2,Process Engineer,20-Jan-21,,20-Jan-21,103913,Approved
InquiryOrder,INQUIRY_NO=8086^,10,Design Engineer,20-Jan-21,,20-Jan-21,100566,Approved
InventoryPart,CONTRACT=100^PART_NO=AS5005PD700Z2ACALA^,40,Snsr/Inst Eng coordinator- Inactive,20-Jan-21,,20-Jan-21,100309,Approved
MrbHead,MRB_NUMBER=4941^,5,Start approval process (initiator),20-Jan-21,,20-Jan-21,102450,Approved
DocIssue,DOC_CLASS=585^DOC_NO=3151807^DOC_REV=A^DOC_SHEET=1^,30,Review & Approve,20-Jan-21,,20-Jan-21,103491,Approved
