PART_NO,PART_STATUS,DESCRIPTION
A12985,O,ObsolBobbin heater CER .051OD 2.18L
A13043,O,OBS /W 056-2318 Nut SST 1/2-24
A8639L238W1250,O,OBS Stator Cover EPYGL .012
AC1002L08P,O,OBS use AC100375
AC1002L50F,O,OBS use AC100375
AC1002L60F,O,OBS use AC100375
AC100324,O,ELASTOMER FILL
A10882L400W1900,O,OBS Stator Cover EPYGL .062
A10882L450W1900,O,OBS Stator Cover EPYGL .062
A10882L480W1200,O,OBS Stator Cover EPYGL .062
A10882L640W1200,O,OBS Stator Cover EPYGL .062
A13237,O,OBS Probe cap (Porous)
A13272,O,OBS Material:  60 micron grade
A13302,O,OBS W/AC103253 MTG FLG STL
A10882L650W1900,O,OBS Stator Cover EPYGL .062
A10882L680W1200,O,OBS Stator Cover EPYGL .062
A10882L680W1900,O,OBS Stator Cover EPYGL .062
A11158,O,OBS
A11159,O,OBS Module Cu SGL PA .188DIA TF
A1125320,O,OBS Case SST .125OD
A1125330,O,OBS Case SST .125OD
A1125340,O,OBS Case SST .125OD
A1125350,O,OBS Case SST .125OD
A11297135,O,OBS/W A11297A135 Case .215OD
A13438,O,OBS
A8639L245W344,O,OBS Stator Cover EPYGL .012
AC100324C67,O,OBS ELASTOMER FILL
AC100324C70,O,OBS ELASTOMER FILL
AC100324C72,O,OBS ELASTOMER FILL
AC100324C72J,O,OBS ELASTOMER FILL
AC100324C79J,O,OBS ELASTOMER FILL
AC102708,O,OBS Terminal board 6-position
A4006,O,OBS Fitting
A4927B0,O,OBS use055-8067 Case Sn/Cu .188OD
AC103224AH839D1S2H,O,OBS ASSEMBLY CHARGE VARIABLE
AC103224AH839D1S2S,O,OBS ASSEMBLY CHARGE VARIABLE
AC103224AH839O1N1EN,O,OBS ASSEMBLY CHARGE VARIABLE
AC103224AH839O1N2EN,O,OBS ASSEMBLY CHARGE VARIABLE
AC103224AH839O1S2EN,O,OBS ASSEMBLY CHARGE VARIABLE
AC103224AH839S1N1H,O,OBS ASSEMBLY CHARGE VARIABLE
AC102154D188L56,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D188L6,O,OBS - ARMOR ASY OVER PROBE LEAD
A1129760,O,OBS /W A11297A60 Case .215OD
A11297800,O,OBS /W A11297A800 Case .215OD
A11329,O,OBS
A12547L640W1200,O,OBS Stator Cover EPYGL .12
A4927ML,O,OBS useA4927MLB0 Case Sn/Cu .188
AC102154D188L72,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D188L96,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D250L118,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D250L120,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D250L180,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D250L197,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D250L234,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D250L300,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D250L36,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D250L384,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D250L455,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D250L48,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D250L56,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D250L58,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D250L72,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102374,O,OBS CHIMNEY CONN ASSY
AC102375,O,OBS NEBULIZER CONN ASSY
A12547L680W1200,O,OBS Stator Cover EPYGL .12
A12602,O,Bushing
A12616-2,O,OBS ETAB PNL CTD Cu SR Al
A12690,O,OBS
AC102151FEPL144,O,SHRINK TBG ACCESSORY
AC102151FEPL192,O,SHRINK TBG ACCESSORY
AC102151FEPL24,O,OBS SHRINK TBG ACCESSORY use AC102151FEP12L24
AC102151FEPL240,O,SHRINK TBG ACCESSORY
AC102151FEPL36,O,SHRINK TBG ACCESSORY
AC102151FEPL48,O,SHRINK TBG ACCESSORY
AC102151FEPL72,O,SHRINK TBG ACCESSORY
AC102151PBL260,O,SHRINK TBG ACCESSORY
AC102151PBL72,O,SHRINK TBG ACCESSORY
AC102151PWL32,O,SHRINK TBG ACCESSORY
AC102151PWL72,O,SHRINK TBG ACCESSORY
AC102154D188L108,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D188L12,O,OBS - ARMOR ASY OVER PROBE LEAD
AC102154D188L40,O,OBS - ARMOR ASY OVER PROBE LEAD
AC103224AH7111P3L120T1HT4,O,OBS ASSEMBLY CHARGE VARIABLE
AC103224AH7111P4L60T1HT48,O,OBS ASSEMBLY CHARGE VARIABLE
AC103224AH7311P3L120T2HT4,O,OBS ASSEMBLY CHARGE VARIABLE
AC103224D1S20AT1,O,OBS ASSEMBLY CHARGE VARIABLE
A2628A22.5,O,OBS /W A2628A225 Case .188OD
A2628A32.5,O,OBS /W A2628A325 Case .188OD
AC103224AH7311P3L60T1HT49,O,OBS ASSEMBLY CHARGE VARIABLE
AC103224AH829D1N1,O,OBS ASSEMBLY CHARGE VARIABLE
AC103224AH829D1S2,O,OBS ASSEMBLY CHARGE VARIABLE
AC103224AH829O1N1,O,OBS ASSEMBLY CHARGE VARIABLE
AC103224AH829O1S2,O,OBS ASSEMBLY CHARGE VARIABLE
AC103224AH829S1N1,O,OBS ASSEMBLY CHARGE VARIABLE
AC103224AH829S1S2,O,OBS ASSEMBLY CHARGE VARIABLE
AC103224AH829W1N1,O,OBS ASSEMBLY CHARGE VARIABLE
AC103224AH839D1S2EN,O,OBS ASSEMBLY CHARGE VARIABLE
AC100324C84,O,OBS ELASTOMER FILL
AC100324C84J,O,OBS ELASTOMER FILL
AC100324C90,O,OBS ELASTOMER FILL
AC100324C92,O,OBS ELASTOMER FILL
AC100324C96J,O,OBS ELASTOMER FILL
AC100375L1000P188,O,OBS TBG PFA .188DIA CLR ENCAP
AC100375L110P250,O,OBS TBG PFA .25DIA CLR ENCAP
AC100375L120BF250,O,OBS TBG FEP .25DIA BLK ENCAP
AC100375L120BP215,O,OBS TBG PFA .215DIA BLK ENCAP
AC103613,O,CONNECTION HEAD MODIFICATION
AC103857,O,OBS see 555-7180
A13803L210W1200,O,OBSStator Cover EPYGL .12 Lead Exit
A13845L240W1800,O,OBS Stator Cover EPYGL SC .02
A13845L246W721,O,OBS Stator Cover EPYGL SC .02
A13887C9827,O,OBS use 549-201019
AC100375L137P250,O,OBS TBG PFA .25DIA CLR ENCAP
AC100375L140P215,O,OBS TBG PFA .215DIA CLR ENCAP
AC100375L195P250,O,OBS TBG PFA .25DIA CLR ENCAP
AC100375L200F250,O,OBS TBG FEP .25DIA CLR ENCAP
A11694,O,OBS ETAB Cu 3OZ SBSTR .197 trim
A11694-2,O,OBS ETAB PNL CTD Cu SR Al
A11697L1970W2756,O,OBS Stator Cover EPYGL .04
A11697L350W820,O,OBS Stator Cover EPYGL .04
A1173920,O,OBS /W A11739A0 Case SST .065OD
A1173960,O,OBS /W A11739A0 Case SST .065OD
A11813,O,.0002 TO .0004THK ELECTROLESS
A11946,O,OBS (A3405 but class A)
A12041L1970W2724,O,OBS Stator Cover EPYGL .093
A12041L315W760,O,OBS Stator Cover EPYGL .093
AC100375L240P188,O,OBS TBG PFA .188DIA CLR ENCAP
AC100375L360F188,O,OBS TBG FEP .188DIA CLR ENCAP
AC100375L360F250,O,OBS TBG FEP .25DIA CLR ENCAP
AC100375L360P188,O,OBS TBG PFA .188DIA CLR ENCAP
AC100375L50P125,O,OBS TBG PFA .25DIA CLR ENCAP
AC100375L60BF188,O,OBS TBG FEP .188DIA BLK ENCAP
AC100375L70F125,O,OBS TBG FEP .125DIA CLR ENCAP
A12258L4.9,O,OBS Thermowell .197OD x .168ID ste
A12259A5.15,O,OBS .215OD TBG is sent to Mn Grin
A12261A5.150,O,OBS Centerless grind per A12261
A12486,O,OBS See FG102345
AC100534,O,ACCESSORY
AC100632,O,"18"" Cable with connector"
